autor_comentarios,corpo_comentarios,data_comentarios,endereco_comentarios,titulo_comentarios
alawrencenyc,"I was amazed by the beauty of this historic place, and learned so much about the 15th, 16th, & 17th Century explorers from visiting here.","Written July 7, 2017","New York City, NY",Blown away
Brian T,"First time visit Lisbon, and all I have to say is amazing city. So many places that you can see and Jeronimos Monastery was one of them. We took the bus tour called Hop on hop off and super conviene, took us every where to the city. I'll def visit Lisbon again, oh food so delicious and super cheap too. ","Written July 6, 2017","San Francisco, CA",Love it
Olivia-aca,You would think there was more here from how large it is. Architecture was beautiful and the cathedral was magnificent. They have also made a few small exhibits. Got there at about 10:30 and there was a small line. We left about an hour later and the line was huge! ,"Written July 6, 2017","Toronto, Canada",Architecture is grand
Frank H,A visit to this monastery is almost a 'must' because of the unique architecture and the tranquil atmosphere inside. Line can be long in the sun though...,"Written July 6, 2017","The Hague, The Netherlands",Beautiful architecture
William N,"We took a tour of the chapel  of the monastery, which largely survived the devastating earthquake that struck Lisbon in 1755. The wood carvings are amazing.","Written July 6, 2017","Buffalo, NY",Worth a visit
Steve M,"With just 1 ticket office open, you can expect a long que to get in, maybe allow 45 mins to an hour, but well worth the wait. The cloisters are awesome and the upper balcony view of the church is excellent especially for photography","Written July 6, 2017",35 contributions,An amazing place
Lea A,"When we drove up next to the monastery, the air left my lungs for a second - it is breathtakingly beautiful. ","Written July 6, 2017","Copenhagen, Denmark","If the queue is too long, the view from the outside is a grand experience in itself."
ankatkis,"It's a charming place but - unless you are interested in reading about the important people in Lisbon's history - not too much to see inside. Still, it is nice to just sit there and do some day dreaming.","Written July 5, 2017","Lodz, Poland","Long queue, short visit"
Alison S,"Buy your ticket, or better your combo ticket for the Tower of Belem as well, at the archeological museum. It is in the same building as the monastery, about 100 yards along from the monastery entrance, but there will be no queues. You then just walk straight in, past everyone queuing, also at the Tower, where there were horrendous queues for Tickets! A no brainier! We were just lucky that we found out so saving ourselves hours!","Written July 5, 2017","Alton, UK",Tip: avoid queues to get in 
,,,,
ethrell2016,"Don't be put off by the queues, it's worth seeing for the beautiful intricate stonework. We went to the maritime museum first where there were no queues then the lift to the top of the Henry the Navigator monument for great views and by 4 pm we only had to que for 20 mins.","Written July 5, 2017","Edinburgh, UK",Avoid queues by going after 4pm
BelainMtl,"This is a Monastery with lots of history and beauty. Take the time to go visit if history is your thing (but if you like just beautiful buildings, go anyway)","Written July 4, 2017","Montreal, Canada",gorgeous history
Ian O,"Hint: Buy your ticket at the middle entrance, not the south entrance. This advice saved us a half hour wait in the baking sun, which was much appreciated since we were sunburnt from the day before.","Written July 4, 2017","Canmore, Canada",Worth the visit if you like architecture and history!
gaz365,"As above but the queuing for a ticket in the blazing sun was unavoidable, as there was only a single person serving out tickets. Come on get into the 21st century! ","Written July 4, 2017",3 contributions,Architecture great shame about the que 
berwhtzin,Very interesting and the tour is very well organized.  Definitely a must place to visit in Lisbon. Definitely a top 10 site.,"Written July 4, 2017","Princeton, NJ",Beautiful Monastery
Corpuz,"Very crowded but beautiful church. We went Sunday probably that's why. Be careful of your belongings when going as per our guide , lots of pick pockets.  ","Written July 4, 2017","Houston, TX",Beautiful church 
ALISON H,"At the entrance to the church it requests silence but in vain ; you hear nothing but the incessant sound of human voices . It's a remarkable piece of 16th century architecture and houses the tombs of contemporary royalty and two great Portuguese , The poet Camoes and the explorer Vasco de Gama . Difficult to take all this in when being swept along by the crowd .","Written July 3, 2017","Harrogate, UK",Spoilt by the hordes of tourists
athinageo,"Worths a visit if combined with nearby Tore de Belem. Nice, impressive building but usually has large queue, so maybe early in the morning would be better visiting.","Written July 3, 2017","Athens, Greece",Worths a visit
TOM-C--LIVERPOOL,"Visited this monastery as part of a pre-cruise organised tour. Whilst it is a very interesting building, it was way too crowded, meaning that we were constantly pushing through crowds. Probably best to visit outside peak times to get the best of your visit.","Written July 3, 2017",United Kingdom,Too crowded
Emilie M,"The architecture of this place is simply breath taking. Going inside is definitely worth the cost just for the architecture itself, although that is the only thing to see here.","Written July 3, 2017",6 contributions,beautiful
,,,,
NYCACAPULCOFAN,Definitely visit here if you are in Belem. A great place full of history and a must-see in Lisbon. Does not take long to go through it.,"Written July 3, 2017","New York City, NY",Great monastery in Belem
MissTBritishColumbia,This spectacular monastery was worth the line up we braved in order to enter. The interior architecture and ornate detail is fabulous. Despite the large number of tourists the huge courtyard and the towering vaulted stone ceilings lend an air of peace and tranquility. Be sure to bring your camera. ,"Written July 3, 2017",British Columba,Worth the Line Up
Mark S,"We got in to this attraction ""for free"" with our Lisboa Card.  I'm grateful for that.  Touring it for essentially no (extra) cost made a lot of sense.  The place is a beautiful structure, along with the church (the church you can go into for free anyway).  But all you really get is the structure and the walk-around the beautiful courtyard.  Yes, there is hot room with a nice historical timeline of the monastery, along with parallel timelines of other world events but it is cumbersome (in my opinion) and you are pushed-along by other tourists, if you know what I mean.  I'm glad I didn't have to pay separately for this and I would have felt like a sucker if I paid for this straight-up.  If you have some all-included card like the Lisboa Card then go, otherwise I cannot recommend.","Written July 2, 2017","Antioch, IL","Nice Grounds and Building but no ""Sizzle"""
Helen M,"We queued for less time than the people with Lisbon Cards, and they only got a discount, not free entry.  If you're over 65, you get a better price than the savings cards.","Written July 2, 2017","Worcestershire, UK",Cool and peaceful
Loxley55,"Catch a 15 tram from Praca da Figueira (near Rossio Square) or from Praca do Comercio by the river, and in 25-30 minutes, you'll arrive at the Jeronimos Monastery in Belem. You can't miss it - there will be coaches depositing their passengers on the huge open space in front of the wide frontage of the monastery. Get there in good time for it to open at 10.00 because you'll have to queue for entry. Get there later and the queue will probably be even longer. Ticket sales are not well organised, and this takes far more time than it need. But it's worth it once you're inside. The stone carving is exuberant and extravagant, especially on the double height cloister. Just look at the details, beautiful naturalistic designs including some humorous ones. The church is no less imposing with very tall columns and some fine tombs, including that of Vasco da Gama. It's only a short walk to see the pretty Belem Tower.","Written July 2, 2017",UK,"Richly carved stonework, very busy atttraction"
Caroline D,"Terrible queues, waiting since almost 2 hours despite arriving first thing.  You wait outside in the scorching sun, no indication of how long you have to wait.  Still not inside but everyone coming out is scowling so unclear if even worth it.  To make matters worse, there appears to be a process to effectively jump the queue by buying a ticket from the much shorter archaeological museum queue.  Maybe they should just establish one queue and actually make it work smoothly?  NOT RECOMMENDED!","Written July 2, 2017","Sydney, Australia",If only I could give it 0/5...
Caroline D,"Fast entrance process, fantastic compared to the awful monastery line next to it.  Recommended for those visiting belem.","Written July 2, 2017","Sydney, Australia",Nice 
mr_keith_talent,"a highlight of Lisbon.  loooong line to get in.  a very nice courtyard.  very pretty, worth a visit, but not much more.  ","Written July 2, 2017",Montreal,Carved Stone Moastery in Belem
seafare74,By arriving early we were able to wait in the shade for the 10:00 am opening and to be among the first inside to take pics without hordes of tourists in the way. Entry was 10€ and they also sell combo tickets that include other attractions. The church next door is free. Do not miss it.,"Written July 1, 2017","SF, California",Arrive by 9:30 to Avoid the Queue
Eivind H,One of the best sights in Lisbon. Both the church and the cloister are definitely worth a visit. Beautiful architecture! But beware of the long ticket lines and the lines just to get inside. If you can get a ticket in advance you will save a lot of time. ,"Written July 1, 2017","Kristiansand, Norway",The old cloister 
,,,,
ElaineMar59,"Fabulous exterior and setting in Belim. Check whether cruise ships in and avoid as queue was rediculously long. We chose not to join as expected 1hour wait at least and it was very hot day. However we strolled around the area, sat in the gardens visited the Belim Tower and Monuments both accessible in the riverside.","Written July 1, 2017","Manchester, UK",Disappointed with queues
MadtownChris,Clearly one of the big tourist places and for good reason. Both the cathedral and cloisters are impressive and beautiful. Pro tip: head left to the archoealogy museum to buy a ticket then walk all the way in past the giant line in the lane that says don't go there - show your ticket and he guy will let you up to he front.,"Written July 1, 2017","Madison, WI",Busy and beautiful
A&MOttawa,Go early and be prepared to be patient in ticket line.,"Written June 30, 2017",Ottawa,Beautiful visit
marc c,"Get there EARLY!!  We went in June before the busier months.  We were probably 20+ minutes early and about 50th in line.  Once it opens, line moves OK.  Once under the portico, you can see the stairs where you will be led to purchase your tickets.  Halfway up to the left is a room with a desk.  What they don't tell you is you can buy your tickets here ALSO!!!  Do that.  Same place.  Just a different kiosk.  AND once you buy there, you can enter.  That means you can pass by the the 25-50 people ahead of you that are waiting for the kiosk at the top.  Just understand that just because this is a religious place, people still don't behave well.  There are countries that produce tourists that always have cameras and pretend to not be able to read the signs.  They will pretend the don't understand that the line to the right for the church is free but it is NOT for the monastery.  You have to wait in line and pay for that.  They will cut and play dumb.  The new rude Americans!  Which is nice to not be the rudest group anymore!  That said, the monastery is wonderful.  About 45 minutes.  Another 5-15 to do the church.  Do that after.  Get in and be there before the throngs.  Totally worth it!  ","Written June 30, 2017","Charleston, SC",Wonderful.  Like a movie set it was so perfectly maintained.
Travelpenguinski,"The place is number one must visit for Lisbon. It is stunning architectural building and historical site. I am not going to say more. Here I only talk about ticket and line. The problem is the long line. There are ways to avoid waiting: buy combination tickets at Tower of Belem or go to the museum on the left and buy from there ( not guaranteed). On free visit Sunday: you just have to wait in line. But despite long line, it moves fast. They open additional ticket places to accommodate visitors when it gets busy. ","Written June 30, 2017","Berkeley, CA",Must see!
Oceann14,Enjoyed the ambiance and the history of the Monastery. And after you go there you must see the Maritime Museum!,"Written June 30, 2017","Fort Myers, FL",Lovely place
labella102,"Impressive and without a doubt a must see from the old masters to the Chin dynasty, this is a delight to the senses ","Written June 30, 2017","Belfast, UK",A must see
Mindtrust,"The monestary has a fee and usually the line is long and doesn't move. Go the right of the line and directly into the church which is for free and doesn't have a line, inside you will find the tomb of Vasco Da Gama!","Written June 29, 2017","Stockholm, Sweden",Nice building the chuch is for free
Graham O,"There are plenty of things to see here and our guide had a story to tell about all of them. Go early though, we went at a particularly bad time as a huge cruise liner had come in and the monestry and the venue was rammed with tourist groups.","Written June 29, 2017","Lichfield, UK",Very interesting tour
Maudri,"We decide to do tjis one on early morning and we done well, not to many people so we've done great pictures and we really enjoy it. A must do in Lisboa :)","Written June 29, 2017",55 contributions,On morning
,,,,
intelligentgirls,This was a great trip out from Lisbon.  The monastery is really wonderful and intricate and surprisingly peaceful given the amount of tourists.,"Written June 29, 2017","Bedfordshire, UK",Wonderful and peaceful
thd007,"nice little quaint monastery in Belem, simple architecture, walk around see some tombs, stain glasses and court yard.","Written June 29, 2017","London, United Kingdom",nice little quaint monastery
Tracy B,"Well what can you say, big queues to get it and hundreds of people on tour as. Get there as early as you can. Once you are through the queues and enter the monetary it's absolutely stunning, the whole place is beautiful. When you enter the church it takes your breath away from the top gallery. Of course lots of people around Vasco de Gama tomb, but still worth seeing. Well worth a visit. ","Written June 29, 2017","Colchester, UK",Beautiful and serene 
Bucketlist698,Although crowded there was plenty of time to take this in. It is a bit dark but has great history with Vasco De Gama tomb plus other pieces. The outside architecture you need to really look at for some interesting shapes and figures.  Even the entrance doors are impressive.,"Written June 28, 2017","Canberra, Australia",Nice history and interesting building
antoniocarloschamp,"best place I've visited in Belem, the original construction from the 16th century is just outstanding ...definitely recommend it. ","Written June 28, 2017","Perugia, Italy",amazing place
TamasBTA,It is one of the most popular sights in Lisbon and not by accident. The architectural work on it is absolutely amazing. Totally worth a visit.,"Written June 28, 2017","Kolding, Denmark",Rest place of Vasco de Gamma
CGBthetraveler,Incredibly beautiful architecture and interior. Seems to retain a peaceful feeling despite the crowds. It is just one of the many must-see's in the Lisbon area.,"Written June 28, 2017","Quincy, MA",A must-see during any visit to Lisbon
Kay987654321,"It was difficult to appreciate due to the crowds, I'd advise trying to visit either early morning or late afternoon to avoid the hordes.","Written June 28, 2017","Halifax, UK",Extremely busy
Karin T,Lines way too long to get into the cloisters. Try church however is very beautiful and well worth the visit ,"Written June 27, 2017",2 contributions,Impossible lines 
ImeldaMario,"When I got through the line to pay, there was a sign that said 3 rooms were closed for a concert that day.  What I didn't realize is that those were all the rooms in the monastery.  So basically, I saw the courtyard and the refractory.  The courtyard is beautiful, but not worth 10 euros. ","Written June 27, 2017","Lakeland, FL",A bit of a rip off
,,,,
Ernestine D,"When we were in Lisbon, there was a heat wave. Therefore, to see a long line to go to the monastery was discouraging. We braved through it and realized, the long line splits into two with one ticket person on each line. You look around and there's a man who looks like a cop whose job is -- we have no idea. And another person whose job is to check the ticket we just bought and also to let others squeeze into the line which we all have lined up for almost an hour. You get inside and you're on your own. The walls of the monastery has random numbers which might be for the audio guide -- who knows it was not advertised. The building itself is great -- five star to the 1500 folks who built it. But to those who are adding different things like history of Portugal, can you at least make it better? it's so frustrating when you're so excited to see a place and it's run by substandard folks. So sad.","Written June 27, 2017","Winnipeg, Canada",Could have been better
Geodd2,"We visited with an organised tour and walked right in. I felt sorry for those queueing for entry tickets in the blazing sun !! the monastery was well worth the visit, inside and out.","Written June 27, 2017","Penrith, UK",Well worth a visit
Chris R,"We enjoyed our visit here but didn't feel it was great value for money especially as we paid for a joint ticket (with the Tower), but after queueing for a while to get in to the monastery we didn't feel like joining another long queue to get in to the Torre de Belem.Worth a visit though.","Written June 27, 2017","Bolton, UK",Attractive monastery but a little over-priced and long queues
UkOma,What we saw was great but due to the long queues and the time we had we were unable to see the cloisters. It's rather moving to be here; history comes alive as you stand before the tomb of Vasco da Gama - a name from maritime exploration in the 15th Century. The view of the monastery from the top of the viewing tower on the Discoveries monument is breathtaking. The monastery was secularised in 1833 but retains a lovely reverent atmosphere.,"Written June 27, 2017",UK,I wish we'd had more time for this wonderful World Heritage site!
alisonjudy,"This stop in Lisbon was by far the most tranquil and stunning buildings I think that I've ever had the pleasure of visiting in Europe. I would definitely recommend visiting around closing time as I practically had the monastery to myself! It was amazing to sit there and soak up the sun, and the calming vibes.","Written June 27, 2017","San Francisco, CA",One of my favorite stops in Lisbon
DincerP,"I have seen a great many monasteries, and after a while, they start to get boring. But this one is surprisingly enjoyable. The church itself is free to enter, whereas cloister is extra. You may be tempted to skip the cloister, but that would be a mistake - there is a reason why people pay to see this. It is very enjoyable, and architecture is just stunning. You also get to see the church itself from a very unique vantage point (great photo opp), one that you dont get to see from inside the church. Overall, it is very enjoyable and well worth the visit, even if you have to pay for it. ","Written June 26, 2017","Philadelphia, PA",Surprisingly pleasant attraction
Thomas S,"10€/person, the architecture is really great but the visit can be made in 15 minutes, not many things to admire. Expensive for what it is. ","Written June 26, 2017","Maisons-Laffitte, France",Expensive for what it is 
Ray N,A magnifcent building and rightly a very popular tourist attraction. I visited the next door Archaeological Museum first and with a dual ticket avoided the queue to get in. The cloisters are very tranquil and also the tiled wall of the refectory is well worth seeing. I also saw the tomb of Vasco Da Gama in the church.,"Written June 26, 2017","Bury St. Edmunds, UK",Magnificent Building
Rachael King,The monastery was the first stop on our Belem trip. We got there around 10:30-11 in the morning and the queue for the building was still fairly long. ,"Written June 26, 2017","London, UK","Beautiful building, a little busy "
Sasha N,"Beautiful Monastery, stunning courtyard, great historical display, and beautiful inside of the monastery.  ","Written June 25, 2017","Chicago, IL",Beautiful Monastery
,,,,
IAl,The place is packed with tour groups and people taking pictures in the incredibly beautiful balconies. A lot,"Written June 25, 2017","Toronto, Canada",Nice place but not a lot to see
Thomas D,"The monastery is a beautiful piece of Manueline architecture. Well maintained and really worth the visit. Access to the monastery also allows you to visit the choir of the church, with a beautiful view over the rest of the church. ","Written June 25, 2017","Tervuren, Belgium",Well worth the visit
JohnKMiamiLakes,"St. Jerome is a  very beautiful monastery, both outside and inside. It is worth the trip to see the tomb of Vasco da Gama, one of the very early explorers of the new world  I suggest the Tram 15 as a means of getting there - it stops directly next to the monastery.  Also in walking distance of St. Jerome is the Torre Belem and the Monument to the Discoveries.  One could these three in a single day and have lunch nearby as well.  Behind the monastery is a tropical garden that my be worth a view - although I didn't find it all that appealing, others may find it so.","Written June 25, 2017","Huntersville, NC",Beautiful
con,"this is one of two must-do sites in the eastern part of Lisbon, dating from the early 1500s, when Portugal came into serious money thorugh its trading and colonies.  I went on a Sunday afternoon.  when I arrived there was an enormous queue, which I naturally joined.  it was only after it had moved half an hour later that I was close enough to the poor signage to understand that I was not in the ticket queue but the queue for access to the Chapel.  so I had to join the ticket queue.  hopeless.  why this signage wasn't further back to explain to people, beats me.  anyway, so visited the cloister.  i'm a fan of cloisters and it is a good cloister.  by the time I came out, the enormous queue for the chapel had disappeared and you could walk in.  chapel is not an adequate description.  I've seen a lot of churches in my recent travels but this one is amazing.","Written June 25, 2017","Bondi, Australia","amazing place, hopelessly managed for visitors"
radmilajov,"The church next to the monastery is also nice and the entrance is free.The monastery inside is nothing special, there's an exhibition inside but it's too extensive for the fact that there's no air in that room at all.","Written June 25, 2017","Belgrade, Serbia","Nice, but overpriced"
Anne D,"Belém is worth the trip from Lisbon if only for the sweet, friendly street shops. The Monastery including the church and cloisters is of fantastic architecture but, in my view, similar to other European marvels. It is certainly worth a stroll but the line-ups for tickets is horrible. Note that you may buy your ticket at the museum next door which will save you at least an hour wait. I would not splurge for a combo ticket with Tower entry. Line-ups are just as crazy there and you have to wait in two separate lines before being given entry to the top. ","Written June 25, 2017",Ottawa,Beautiful Manueline Architecture 
MariRob2,Peace and tranquility on a hot day is very welcome. The cloisters are a piece of heaven. Can get crowded but large enough  to accommodate most times,"Written June 25, 2017",3 contributions,A cool haven
BARRYBE,"When we got off the Lisbon Hop on on Hop off bus , we are keen to spend time in these magnificent buildings. However as the queues were so long unfortunately we were able to go inside this monastery. Photos below depict how many people were waiting to visit this outstanding building. However being able to view the outside of these building was well worth the trouble.","Written June 25, 2017","Durban, South Africa",GREAT BUILDINGS
dancinggirl88London,Went to the chapel which is part of the monastery- it was beautiful and huge- its free to go in but the large monastery isn't.,"Written June 25, 2017","London, UK",Beautiful in the sunshine
onthegoWirral,"It takes a while to get in but once in prepare to be wowed, just beautiful the stone work was amazing. ","Written June 24, 2017",wirral,really interesting place
,,,,
Westyhammy,On our visit to Lisbon City Centre we took the bus tour and we stopped off at this lovely Monastery it was part of a gret tour.,"Written June 24, 2017",Kent,Lovely City
Dirk M,Not too big and not too small. Take your time and visit all parts (you may miss some if you rush through). Don't miss the display on the history of the monastery in reference to the history of Portugal and the world.,"Written June 24, 2017","London, UK",Top place in Belem
Zarin S,This is a very impressive structure from outside and inside too.  In the monastery is the tomb of Vasco da Gama with lions.  Its a beautiful church.  Its always very crowded.  Outside you can bargain and buy trinkets.,"Written June 24, 2017","Mumbai, India",Jeronimos Monastery in Lisbon
Robert21647,This is an architecturally beautiful and historically important structure well worth the visit but seeing and walking around the double tiered cloister was really special. It is the most beautiful cloister I have seen. We were there on a busy Sunday and had to wait for about 45 minutes to get in - free admission then - might have picked a different time and paid if I were to do over. ,"Written June 23, 2017","Wellesley, MA",Most impressive cloister
J Larry V,"The tomb of Vasco de Gama is located here but was not available to see due to services being conducted. This is a UNESCO World Heritage Site near the Discovers Monument, the Belem Tower and the Tagus River.Over 400 years old, the interior features incredibly complex decorative features. A city highlight for sure.","Written June 23, 2017","Bowling Green, KY",Stunning architecture
Shennie_Li,"Since it is nearby the torre de Belem, we visited the monastery as well. Nevertheless​, be prepared for the long queue at the entrance. A good one-two hours is expected to spend for the visit.","Written June 23, 2017","Meer, Belgium",Nice to combine it with Torre de Belem
MississippiQueenB,"This is a beautiful landmark in the city.  Always a line to get in, but very much worth the wait.  Do not miss!","Written June 23, 2017","Madison, MS",Absolutely Must See!
alan_uk1953,"This is an impressive and imposing building, now home to a  library and museum and positively dazzles in bright sunshine","Written June 23, 2017","Scarborough, UK",Impressive
Andrea J,Very interesting and impressive. Need to get there early but only opens at 10. Cashiers and staff not friendly or helpful also delayed opening without apology. Because we were early could enjoy the visit. The church itself was already crowded by the time we got there and it was difficult to move through or have a quiet moment. Also asked for combo ticket twice and in the end sold the wrong one because she was busy talking to the other cashier.,"Written June 23, 2017","Muenchweiler an der Rodalb, Germany",Impressive
William M,"I thought this was a very nice, well preserved piece of history.  Lots of intricate detail and very large.  It must be good lots of folks wanted to see.  The small fountains and intricate architecture was very stunning.  Worth seeing and then go to maritime next door","Written June 23, 2017",Birmingham,Portugal Tour
,,,,
Alison F,"This is a stunning Monastery and Church, with a grand and imposing courtyard. We had to queue for a short time but worth the wait,","Written June 22, 2017","Melbourne, Australia",Grand environment
tummies53,We paid the full price and then were told there was no audio tour. And then we found out the church was free. The price seems steep for the cloisters which has very little information posted. I had a guidebook that told me what to look at otherwise it would have been very frustrating. There is a great history display on the second floor of the  cloisters showing the history of the world and the monastery along the history of Portugal. ,"Written June 22, 2017","Nashville, TN",Not enough descriptions 
sailingby09,Our guide raved about this place but I found it rather cavernous and difficult to see because it was quite dark inside ( or St least where we went). It was however an imposing old building ,"Written June 22, 2017","Canberra, Australia",Huge with lots of crowds
darren91,Fascinating insight into this building! Very popular and busy but worth a visit. Very cool inside! Try to visit in early if possible.,"Written June 22, 2017","Brighton, UK",Amazing architecture
Generoso Q,"Nice and well preserved history. Very intricate outside ornate of the Cathedral. Nice and spacious area of a touristic destination. Lots of other activities around from food, shopping and sightseeing.","Written June 21, 2017","Pacifica, United States",Lots of history of the glorious Portugal of the past!!!
MelissaTak512,"This was a peaceful location with great shade and a really nice ""history of the world"" synopsis. Use the ticket office on the left instead of the longer line. Get a combo ticket if you are visiting the Tower. Then at the tower get in the line on the right which is much shorter. Monastery is beautiful. ","Written June 20, 2017","Austin, TX",Peaceful place
pavlossmith,Beautiful building lots of history hard to believe over half a millennium old ..... long queues get there handy .. and so cool in the cloisters .. ,"Written June 20, 2017","Dublin, Ireland",Beautiful building
RMJ59,"This is a very popular site so the queues were long when we arrived, although they had reduced a lot by late morning. I guess a lot of coach parties arrive mid morning.","Written June 20, 2017","London, UK",Stunning
DerAlteBach,"The architecture is glorious, both inside and outside the building.  It's richly ornate, with both items of both biblical and seafaring relevance.  In fact, the decorations are so rich that they remind me of the Pastéis de Belem (cream tarts) that were invented in the monastery in the eighteenth century!","Written June 20, 2017","Sydney, Australia",Truly marvelous church
Moeandpumpkin,"We had tried to buy advance tickets online for about two months.  The site was ""down for maintenance"" for the entire two months.  I guess it is never up.  But, we got there first thing in the morning (shortly before it opened) and got in line for tickets.  Moved pretty quickly.  Once you got in, it was a little confusing.  There was signage, but it was confusing and we did a lot of backtracking.  It was interesting; I enjoyed the cloisters the most.","Written June 19, 2017","Munster, IN",Pretty church
,,,,
EireVan,"Stunning building, went into Church and followed the packed line.  Didn't bother going inside monastery as the lines were crazy.  Went to St. Christophers monastery instead and it was stunning.","Written June 19, 2017","Vancouver, Canada",Long lines
Thierry_Bea,"If you visit Lisbon, make sure you go there it is really worth doing, the cloister is great. And you can use the opportunity to visit the discoveries monument on the other side of the road.","Written June 19, 2017","Liège, Belgium",This place lived up to the expectations we had
zingle1,"This monastery is a must-see in Lisboa (although I'd been in Lisboa a hundred times before going). Go in when it opens, and have a good look around.  My 9 year old son found the collage room where they have the last 2 millenniums major events very enlightening (as did I). After that, don't let some tour guide make you go down to that overcrowded place for pastel de nata. Jeez, your average pasteleria will have some just as good, and you can actually get a seat and be in a/c too! ","Written June 19, 2017","Indian Hills, CO",Go early and don't stay too long!
S1m0nster,Went there on Friday morning as part of,"Written June 19, 2017",163 contributions,Beautiful monastery but very VERY busy
jadelmaamary,Such a nice place to visit. The architecture is different and unique. Huge monastery but only part is available for public. You can see the church for free but if you want to see inside the monastery you have to buy ticket. ,"Written June 18, 2017","Beirut, Lebanon",One of the best 
Brian F,Crowded on a Sunday afternoon had to queue. Lovely inside but not huge amount to see for your bucks! ,"Written June 18, 2017","Reading, UK",Disappointed 
ABIGAELJANE,"This ancient church is really beautiful and historical, that you should come and visit. Some of the statues made by gold and made beautifully. The details of the church brings you to the age where Vasco da Gamma lived. ","Written June 18, 2017","Jakarta, Indonesia",A gothic beautiful church
Lawbo84,The monastery is totally underwhelming. Nothing much more than a two storey courtyard. More so when it costs €10. Just go to the church for free!!! :-),"Written June 18, 2017","Bradford-on-Avon, UK",Don't bother with the monastery 
MrsMardy,"I was very excited to see this, but when we arrived, there was no signage, lines and groups in all areas, a quite confusing visit.  After standing in a line that didn't move for over 15 minutes, we elected to move on.  I was disappointed.","Written June 18, 2017","Monte Sereno, CA","Beautiful place, confusing information."
Olympia B,"The cloisters are perhaps the most impressive piece of Manueline architecture in Portugal. Each arch is carved with exquisite detail and is different from the other. Even with all the people around, one can get a sense of peace and tranquility, befitting its function as a monastery. The church itself is an impressive and stunning piece of architecture. Definitely worth travelling to Belem just for this!","Written June 18, 2017",33 contributions,Unique site
,,,,
Sarah,"The cathedral, monastery, and cloisters are very ornate and awe-inspiring examples of Portugal's unique Manueline architecture. I wouldn't miss this while in Lisbon, even if there are some hassles associated with seeing it. There are a LOT of tourists and it is packed. Also, the lines can be long. Fortunately, we had a private tour, so we didn't have to buy tickets, wait in line, etc. If you're willing to spend a little more, this is DEFINITELY the way to go. Our private guide also gave us a lot of fascinating history about Portuguese history, Manueline architecture, and Vasco de Gama. Don't miss out on this incredible site just because of the hassle it's truly worth seeing.","Written June 17, 2017","Chicago, IL",Beautiful Manueline architecture
Jona Zuiver,"Be early in the morning or around 17:00 to avoid enormous crowds. This is one of Lisbons highlights. Entry fee is 10 euro, but free with Lisboa card.","Written June 17, 2017","Amsterdam, The Netherlands",Beautiful monastery 
Goran R,"if you visit Belem tower (or torre the Belem) this is a must location to visit. There is a free entrance to the church. If you visit it during summer, there is a park with fountains with drinkable water, or stands where you can buy bottled.","Written June 17, 2017","Zagreb, Croatia",nice location
MiriamM972,A very celebrated monument inLisbon representing the best of Portuguese Architecture and its incredible filigree in stone,"Written June 17, 2017","Sao Paulo, SP",Impressive monument of Portuguese Architecture
Petronella S,"Initially thought there massive queues to get in, but moved very quickly. ","Written June 16, 2017",24 contributions,Holiday outing
Luis R,We really enjoyed the walk up to the castle. There is not much to see. the museum has a few roman and moorish artifacts. The view is very nice. It is worth visiting but do not expect much,"Written June 16, 2017","Greenwich, CT",Great view of Lisbon
Kathryn M,"I visited the Monastery on a Tuesday morning in May and the line by the church doors was already stretched out to the street. A couple walking by suggested that the museum entrance in the middle of the building (to the left as you face the church) was also selling tickets. We were able to walk right up and buy tickets for the Monastery and Tower and skip the entire line. One note, buying tickets at that entrance required us to buy tickets for the museum (2 euros, I think), but we considered that a fair price of not spending an hour or more in line. ","Written June 16, 2017","Austin, TX",Try the museum entrance for tickets
emjosn,"Really busy with lots of tourists, but despite that the cloister still has a peaceful atmosphere. On the lower level it's possible to sit quietly and admire the some carving and psych yourself up to rejoin the crowds.","Written June 16, 2017","London, UK",Beautiful church and cloister
Jānis P,"The entry cost 10Eur per person or 12Eur per person if you took the combo offer with Belem Tower entry included (which we did). The monastery is very nice (especially the coolness amidst the heat of June sun), but there is really extremely little to see for that money. There was a room with an amazing historical exhibit about the monastery and Portugal, but the room was like 7x7 meters, inside a huge mostly empty monastery. When compared to the other amazing places you can get into for far less money and with way more to see (like the Palacio Nacional da Ajuda), it doesnt seem worth the money.","Written June 16, 2017",25 contributions,Not worth the entry IMO
Denly K,It was hot in April and we have to line up about 45 minutes to get to the ticket booth and to get in.  We cannot see everything as there were lines in some of the other attractions inside also.  My suggestion is come early if you do not want to wait.  The Manueline architecture is exquisite though and unique to Portugal.  It is still a must see in Lisbon even if the line is long.,"Written June 16, 2017","Fishers, IN",Great piece of Manueline architecture
,,,,
Tomislav N,The monastery is very beautiful but the entrance fee of 10 eur per person is way to much. It took us less then 20 min to see all that was there and that was not much. The most impressive part was a church which you can visit for free. Best to be admired from the outside. ,"Written June 16, 2017",16 contributions,"Way to expensive, best to be enjoyed from the outside"
Rosana T,"The Jerónimos Monastery is not to be missed. I went in not really expecting to be Wow'ed, but I was. The architecture and intricate details are stunning. You really have to see it for yourself. ","Written June 16, 2017","Cincinnati, OH",Stunning.
Mark D,This monastery was built in XVI century.  The style of art served to glorify the great discoveries of the age.,"Written June 15, 2017","West Bloomfield, MI",Magnificent monastery.
